lvl;cid;all;character_id;value_id;type;name;pos;count_chara;count_value;count_goods;count_sub;filter_status;filter_id;filter_name;filter_pos
;21;;45;;character;Ширина;;;19;122;;1;9;Ширина;30
;21;;45;354;value;1.62;;;;10;;;;;
;21;;45;549;value;1.4;;;;5;;;;;
;21;;45;594;value;1.40;;;;5;;;;;
;21;;45;596;value;1.46;;;;15;;;;;
;21;;45;150;value;1.36;;;;5;;;;;
;21;;45;614;value;1.45;;;;5;;;;;
;21;;45;624;value;1,45;;;;10;;;;;
;21;;45;634;value;1.58;;;;5;;;;;
;21;;45;1013;value;1,42;;;;5;;;;;
;21;;45;1295;value;1.6;;;;5;;;;;
;21;;45;1536;value;1.42;;;;12;;;;;
;21;;45;113;value;1.7;;;;5;;;;;
;21;;45;1201;value;1,7;;;;5;;;;;
;21;;45;3357;value;1,58;;;;2;;;;;
;21;;45;3373;value;1,65;;;;8;;;;;
;21;;45;3379;value;1,8;;;;5;;;;;
;21;;45;3386;value;1,6;;;;5;;;;;
;21;;45;3450;value;185;;;;5;;;;;
;21;;45;2623;value;1,85;;;;5;;;;;
;21;;44;;character;Ширина кокпита;;;15;122;;1;10;Ширина кокпита;30
;21;;44;355;value;0.72;;;;10;;;;;
;21;;44;189;value;0.65;;;;10;;;;;
;21;;44;598;value;0.7;;;;20;;;;;
;21;;44;602;value;0.70;;;;5;;;;;
;21;;44;144;value;0.6;;;;5;;;;;
;21;;44;616;value;0.64;;;;5;;;;;
;21;;44;623;value;0,65;;;;10;;;;;
;21;;44;546;value;0.62;;;;17;;;;;
;21;;44;50;value;0.8;;;;5;;;;;
;21;;44;3303;value;0,8;;;;5;;;;;
;21;;44;3356;value;0,7;;;;7;;;;;
;21;;44;3367;value;0,75;;;;8;;;;;
;21;;44;3377;value;0,83;;;;5;;;;;
;21;;44;3451;value;85;;;;5;;;;;
;21;;44;2622;value;0,85;;;;5;;;;;
;21;;5;;character;Количество отсеков плавучести;;;4;122;;0;;;
;21;;5;56;value;3;;;;31;;;;;
;21;;5;378;value;2;;;;30;;;;;
;21;;5;151;value;3+1;;;;56;;;;;
;21;;5;3304;value;3+2;;;;5;;;;;
;21;;40;;character;Тип;;;1;122;;0;;;
;21;;40;145;value;надувная ПВХ;;;;122;;;;;
;21;;11;;character;Тип днища;;;2;122;;1;11;Тип днища;30
;21;;11;11;value;килевое;;;;76;;;;;
;21;;11;542;value;плоское;;;;46;;;;;
;21;;6;;character;Тип пайола;;;4;127;;1;12;Тип пайола;30
;21;;6;126;value;алюминиевый;;;;10;;;;;
;21;;6;536;value;фанерный: слань;;;;35;;;;;
;21;;6;154;value;фанерный: на профиле;;;;77;;;;;
;21;;6;160;value;НДВД (AirDeck);;;;5;;;;;
;21;;134;;character;Толщина пайола (пола);;;5;92;;0;;;
;21;;134;356;value;12 мм;;;;10;;;;;
;21;;134;584;value;6 мм;;;;31;;;;;
;21;;134;593;value;9 мм;;;;41;;;;;
;21;;134;3355;value;9мм;;;;2;;;;;
;21;;134;3371;value;9;;;;8;;;;;
;21;;82;;character;Наличие стрингера;;;2;122;;0;;;
;21;;82;127;value;есть;;;;65;;;;;
;21;;82;155;value;нет;;;;57;;;;;
;21;;135;;character;Плотность ткани на балоне;;;3;92;;0;;;
